SVIGFM_DIS_Project_node,SVIGFM_DIS_Project_row,SVIGFM_DIS_Project_column_,POINT_X,POINT_Y
1.000000000000000,1.000000000000000,1.000000000000000,6383284.298308210447431,1917999.898328469600528
2.000000000000000,1.000000000000000,2.000000000000000,6383744.550734937191010,1918195.263892714399844
3.000000000000000,1.000000000000000,3.000000000000000,6384204.803161663003266,1918390.629456958966330
4.000000000000000,1.000000000000000,4.000000000000000,6384665.055588389746845,1918585.995021203532815
5.000000000000000,1.000000000000000,5.000000000000000,6385125.308015115559101,1918781.360585448332131
6.000000000000000,1.000000000000000,6.000000000000000,6385585.560441842302680,1918976.726149692898616
7.000000000000000,1.000000000000000,7.000000000000000,6386045.812868568114936,1919172.091713937465101
8.000000000000000,1.000000000000000,8.000000000000000,6386506.065295294858515,1919367.457278182031587
9.000000000000000,1.000000000000000,9.000000000000000,6386966.317722020670772,1919562.822842426598072
10.000000000000000,1.000000000000000,10.000000000000000,6387426.570148746483028,1919758.188406671397388
11.000000000000000,1.000000000000000,11.000000000000000,6387886.822575473226607,1919953.553970915963873
12.000000000000000,1.000000000000000,12.000000000000000,6388347.075002199038863,1920148.919535160763189
13.000000000000000,1.000000000000000,13.000000000000000,6388807.327428925782442,1920344.285099405329674
14.000000000000000,1.000000000000000,14.000000000000000,6389267.579855651594698,1920539.650663649896160
15.000000000000000,1.000000000000000,15.000000000000000,6389727.832282377406955,1920735.016227894695476
16.000000000000000,1.000000000000000,16.000000000000000,6390188.084709105081856,1920930.381792139261961
17.000000000000000,1.000000000000000,17.000000000000000,6390648.337135829962790,1921125.747356383828446
18.000000000000000,1.000000000000000,18.000000000000000,6391108.589562556706369,1921321.112920628162101
19.000000000000000,1.000000000000000,19.000000000000000,6391568.841989282518625,1921516.478484873194247
20.000000000000000,1.000000000000000,20.000000000000000,6392029.094416009262204,1921711.844049117760733
21.000000000000000,1.000000000000000,21.000000000000000,6392489.346842735074461,1921907.209613362327218
22.000000000000000,1.000000000000000,22.000000000000000,6392949.599269460886717,1922102.575177607126534
23.000000000000000,1.000000000000000,23.000000000000000,6393409.851696187630296,1922297.940741851693019
24.000000000000000,1.000000000000000,24.000000000000000,6393870.104122914373875,1922493.306306096259505
25.000000000000000,1.000000000000000,25.000000000000000,6394330.356549640186131,1922688.671870341058820
26.000000000000000,1.000000000000000,26.000000000000000,6394790.608976365998387,1922884.037434585392475
27.000000000000000,1.000000000000000,27.000000000000000,6395250.861403092741966,1923079.402998830191791
28.000000000000000,1.000000000000000,28.000000000000000,6395711.113829818554223,1923274.768563074758276
29.000000000000000,1.000000000000000,29.000000000000000,6396171.366256544366479,1923470.134127319557592
30.000000000000000,1.000000000000000,30.000000000000000,6396631.618683271110058,1923665.499691564124078
31.000000000000000,1.000000000000000,31.000000000000000,6397091.871109997853637,1923860.865255808690563
32.000000000000000,1.000000000000000,32.000000000000000,6397552.123536723665893,1924056.230820053489879
33.000000000000000,1.000000000000000,33.000000000000000,6398012.375963449478149,1924251.596384298056364
34.000000000000000,1.000000000000000,34.000000000000000,6398472.628390176221728,1924446.961948542622849
